Plot,Total_Cover,Scientific_name,Species_name,Sp_Cover,Flower,Fruit,Seedling_Only,Canopy_Cover,Intercept_Rank,Collected,Unkn_No.(MCG001),Comments,Date,Botanist,Assistant,Clean up Notes
1,"""96-100""",Ageratina altissima,white snakeroot,"""1-5""",Y,NA,NA,NA,3,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Agrimonia gryposepala,tall hairy agrimony,"""<1""",NA,Y,NA,NA,NA,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Geum canadense,white avens,"""<1""",NA,NA,Y,NA,NA,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Hackelia virginiana,beggarslice,"""<1""",NA,NA,Y,NA,NA,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Oxalis stricta,common yellow oxalis,"""1-5""",NA,Y,NA,NA,NA,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Phalaris arundinacea,reed canarygrass,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Pilea fontana,lesser clearweed,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Rhus typhina,staghorn sumac,"""1-5""",NA,NA,NA,NA,4,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Rubus allegheniensis,Allegheny blackberry,"""26-50""",NA,NA,NA,NA,2,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Rubus idaeus,American red raspberry,"""6-25""",NA,NA,NA,NA,5,,,,9/1/21,Mary-Claire,,
1,"""96-100""",Solidago canadensis,Canada goldenrod,"""51-75""",Y,NA,NA,NA,1,,,,9/1/21,Mary-Claire,,
2,"""96-100""",Celastrus orbiculatus,Oriental bittersweet,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
2,"""96-100""",Erigeron strigosus,prairie fleabane,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
2,"""96-100""",Geum aleppicum,yellow avens,"""6-25""",NA,Y,NA,NA,NA,,,,9/1/21,Isaac,,
2,"""96-100""",Monarda fistulosa,wild bergamot,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
