2021_Plot,2021_Taxon
539      ,Acalypha rhomboidea
971      ,Acer rubrum
73       ,Acer rubrum
45       ,Acer rubrum
2        ,Acer rubrum
3        ,Acer rubrum
177      ,Acer rubrum
998      ,Acer rubrum
923      ,Acer rubrum
1008     ,Acer rubrum
4        ,Acer rubrum
14       ,Acer rubrum
9        ,Acer rubrum
26       ,Acer rubrum
32       ,Acer rubrum
39       ,Acer rubrum
860      ,Acer rubrum
176      ,Acer rubrum
40       ,Acer rubrum
47       ,Acer rubrum
54       ,Acer rubrum
75       ,Acer rubrum
199      ,Achillea millefolium
200      ,Achillea millefolium
242      ,Achillea millefolium
618      ,Achillea millefolium
425      ,Achillea millefolium
426      ,Achillea millefolium
490      ,Achillea millefolium
724      ,Achillea millefolium
182      ,Achillea millefolium
46       ,Achillea millefolium
88       ,Achillea millefolium
858      ,Achillea millefolium
712      ,Achillea millefolium
318      ,Achillea millefolium
401      ,Achillea millefolium
319      ,Achillea millefolium
15       ,Achillea millefolium
34       ,Achillea millefolium
55       ,Achillea millefolium
62       ,Achillea millefolium
71       ,Achillea millefolium
386      ,Achillea millefolium
254      ,Achillea millefolium
178      ,Achillea millefolium
161      ,Achillea millefolium
965      ,Achillea millefolium
999      ,Achillea millefolium
531      ,Achillea millefolium
412      ,Achillea millefolium
444      ,Achillea millefolium
476      ,Achillea millefolium
508      ,Achillea millefolium
541      ,Achillea millefolium
574      ,Achillea millefolium
606      ,Achillea millefolium
607      ,Achillea millefolium
542      ,Achillea millefolium
446      ,Achillea millefolium
478      ,Achillea millefolium
510      ,Achillea millefolium
608      ,Achillea millefolium
31       ,Achillea millefolium
831      ,Achillea millefolium
808      ,Achillea millefolium
751      ,Achillea millefolium
694      ,Achillea millefolium
494      ,Achillea millefolium
625      ,Achillea millefolium
432      ,Achillea millefolium
415      ,Achillea millefolium
447      ,Achillea millefolium
479      ,Achillea millefolium
511      ,Achillea millefolium
577      ,Achillea millefolium
545      ,Achillea millefolium
512      ,Achillea millefolium
448      ,Achillea millefolium
416      ,Achillea millefolium
449      ,Achillea millefolium
101      ,Achillea millefolium
346      ,Achillea millefolium
378      ,Achillea millefolium
379      ,Achillea millefolium
321      ,Achillea millefolium
300      ,Achillea millefolium
351      ,Achillea millefolium
383      ,Achillea millefolium
384      ,Achillea millefolium
326      ,Achillea millefolium
302      ,Achillea millefolium
327      ,Achillea millefolium
385      ,Achillea millefolium
362      ,Achillea millefolium
262      ,Achillea millefolium
313      ,Achillea millefolium
263      ,Achillea millefolium
196      ,Achillea millefolium
967      ,Achillea millefolium
966      ,Achillea millefolium
1011     ,Achillea millefolium
348      ,Achillea millefolium
380      ,Achillea millefolium
381      ,Achillea millefolium
349      ,Achillea millefolium
323      ,Achillea millefolium
298      ,Achillea millefolium
274      ,Achillea millefolium
411      ,Achillea millefolium
443      ,Achillea millefolium
507      ,Achillea millefolium
540      ,Achillea millefolium
506      ,Achillea millefolium
331      ,Achillea millefolium
389      ,Achillea millefolium
307      ,Achillea millefolium
427      ,Achillea millefolium
459      ,Achillea millefolium
491      ,Achillea millefolium
556      ,Achillea millefolium
589      ,Achillea millefolium
984      ,Agrostis gigantea
960      ,Agrostis gigantea
834      ,Agrostis gigantea
822      ,Agrostis gigantea
44       ,Agrostis gigantea
830      ,Agrostis gigantea
858      ,Agrostis gigantea
885      ,Agrostis gigantea
902      ,Agrostis gigantea
768      ,Agrostis gigantea
797      ,Agrostis gigantea
740      ,Agrostis gigantea
369      ,Agrostis gigantea
402      ,Agrostis gigantea
319      ,Agrostis gigantea
294      ,Agrostis gigantea
270      ,Agrostis gigantea
345      ,Agrostis gigantea
3        ,Agrostis gigantea
423      ,Agrostis gigantea
487      ,Agrostis gigantea
519      ,Agrostis gigantea
21       ,Agrostis gigantea
63       ,Agrostis gigantea
22       ,Agrostis gigantea
43       ,Agrostis gigantea
57       ,Agrostis gigantea
64       ,Agrostis gigantea
228      ,Agrostis gigantea
278      ,Agrostis gigantea
387      ,Agrostis gigantea
304      ,Agrostis gigantea
279      ,Agrostis gigantea
229      ,Agrostis gigantea
187      ,Agrostis gigantea
356      ,Agrostis gigantea
388      ,Agrostis gigantea
1008     ,Agrostis gigantea
433      ,Agrostis gigantea
498      ,Agrostis gigantea
467      ,Agrostis gigantea
499      ,Agrostis gigantea
531      ,Agrostis gigantea
412      ,Agrostis gigantea
476      ,Agrostis gigantea
508      ,Agrostis gigantea
574      ,Agrostis gigantea
606      ,Agrostis gigantea
639      ,Agrostis gigantea
575      ,Agrostis gigantea
477      ,Agrostis gigantea
445      ,Agrostis gigantea
413      ,Agrostis gigantea
414      ,Agrostis gigantea
510      ,Agrostis gigantea
543      ,Agrostis gigantea
13       ,Agrostis gigantea
18       ,Agrostis gigantea
24       ,Agrostis gigantea
38       ,Agrostis gigantea
25       ,Agrostis gigantea
19       ,Agrostis gigantea
20       ,Agrostis gigantea
32       ,Agrostis gigantea
831      ,Agrostis gigantea
859      ,Agrostis gigantea
886      ,Agrostis gigantea
903      ,Agrostis gigantea
887      ,Agrostis gigantea
860      ,Agrostis gigantea
807      ,Agrostis gigantea
676      ,Agrostis gigantea
942      ,Agrostis gigantea
956      ,Agrostis gigantea
969      ,Agrostis gigantea
994      ,Agrostis gigantea
943      ,Agrostis gigantea
930      ,Agrostis gigantea
972      ,Agrostis gigantea
995      ,Agrostis gigantea
415      ,Agrostis gigantea
479      ,Agrostis gigantea
511      ,Agrostis gigantea
544      ,Agrostis gigantea
609      ,Agrostis gigantea
641      ,Agrostis gigantea
578      ,Agrostis gigantea
545      ,Agrostis gigantea
512      ,Agrostis gigantea
480      ,Agrostis gigantea
448      ,Agrostis gigantea
416      ,Agrostis gigantea
417      ,Agrostis gigantea
449      ,Agrostis gigantea
481      ,Agrostis gigantea
513      ,Agrostis gigantea
174      ,Agrostis gigantea
176      ,Agrostis gigantea
346      ,Agrostis gigantea
378      ,Agrostis gigantea
379      ,Agrostis gigantea
