FID ,Quadcode,Northing   ,Easting    ,Ell__heigh,Arbgridsm,NumSpec,Class,MonPt,Num2,MGT_UNIT,2021_Plot,Line,Section
311 ,1501    ,469429.2715,807074.3833,912.2059  ,82-06-2-3,1      ,LOW  ,     ,0   ,WC      ,1        ,1   ,1
318 ,1508    ,469375.15  ,807073.08  ,914.026   ,         ,10     ,MED  ,     ,0   ,WC      ,2        ,1   ,1
319 ,1509    ,469325.9738,807083.4563,916.8861  ,82-06-2-9,14     ,     ,     ,0   ,WC      ,3        ,1   ,1
518 ,2501    ,469263.1694,807083.3901,918.9     ,         ,14     ,     ,     ,0   ,WC      ,4        ,1   ,1
312 ,1502    ,469432.0342,807127.2564,906.2346  ,82-06-1-1,10     ,MED  ,     ,0   ,WC      ,5        ,2   ,1
317 ,1507    ,469375.6456,807134.5141,912.986   ,82-06-1-6,11     ,MED  ,     ,0   ,WC      ,6        ,2   ,1
320 ,1510    ,469322.5255,807136.0684,915.1574  ,82-06-1-7,12     ,MED  ,     ,0   ,WC      ,7        ,2   ,1
519 ,2502    ,469268.0173,807125.1203,917.4008  ,82-06-4-1,7      ,     ,     ,0   ,WC      ,8        ,2   ,1
530 ,2513    ,469210.7339,807134.0893,918.7469  ,82-06-4-6,15     ,     ,     ,0   ,WC      ,9        ,2   ,1
313 ,1503    ,469429.8446,807183.4897,909.1484  ,82-06-1-2,11     ,MED  ,     ,0   ,WC      ,10       ,3   ,1
316 ,1506    ,469372.9888,807188.9845,911.2084  ,82-06-1-5,16     ,     ,     ,0   ,WC      ,11       ,3   ,1
321 ,1511    ,469317.265 ,807189.9672,912.6865  ,82-06-1-8,11     ,MED  ,     ,0   ,WC      ,12       ,3   ,1
520 ,2503    ,469268.4033,807179.6965,914.5526  ,82-06-4-2,11     ,MED  ,     ,0   ,WC      ,13       ,3   ,1
529 ,2512    ,469208.2023,807187.6916,915.9326  ,82-06-4-5,9      ,     ,     ,0   ,WC      ,14       ,3   ,1
314 ,1504    ,469428.5797,807239.1778,906.5935  ,82-06-1-3,20     ,HIGH ,     ,47  ,WC      ,15       ,4   ,1
315 ,1505    ,469372.0584,807243.5433,909.6002  ,82-06-1-4,6      ,     ,     ,0   ,WC      ,16       ,4   ,1
322 ,1512    ,469316.9987,807244.8221,910.9019  ,82-06-1-9,7      ,     ,     ,0   ,WC      ,17       ,4   ,1
521 ,2504    ,469268.2935,807233.9436,912.5293  ,82-06-4-3,6      ,     ,     ,0   ,WC      ,18       ,4   ,1
528 ,2511    ,469205.8042,807242.4119,915.157   ,82-06-4-4,10     ,MED  ,     ,0   ,WC      ,19       ,4   ,1
531 ,2514    ,469163.8444,807242.0997,925.1864  ,82-06-4-9,15     ,     ,     ,0   ,WC      ,20       ,4   ,1
350 ,1701    ,469426.4817,807297.2961,903.8803  ,82-07-2-1,15     ,     ,     ,0   ,WC      ,21       ,5   ,1
367 ,1718    ,469370.5062,807301.0619,907.6955  ,82-07-2-6,11     ,MED  ,     ,0   ,WC      ,22       ,5   ,1
368 ,1719    ,469317.9597,807295.4638,909.3966  ,82-07-2-7,7      ,     ,     ,0   ,WC      ,23       ,5   ,1
522 ,2505    ,469266.5984,807286.7475,910.5692  ,82-07-3-1,9      ,     ,     ,0   ,WC      ,24       ,5   ,1
527 ,2510    ,469204.9775,807297.1893,912.2464  ,82-07-3-6,19     ,HIGH ,     ,77  ,WC      ,25       ,5   ,1
532 ,2515    ,469151.0204,807295.3813,915.7678  ,82-07-3-7,13     ,     ,     ,0   ,WC      ,26       ,5   ,1
351 ,1702    ,469423.9391,807352.348 ,903.4141  ,         ,12     ,MED  ,     ,0   ,WC      ,27       ,6   ,1
366 ,1717    ,469369.5727,807355.5777,905.7769  ,82-07-2-5,13     ,     ,     ,0   ,WC      ,28       ,6   ,1
369 ,1720    ,469317.3292,807350.1235,907.6895  ,82-07-2-8,10     ,MED  ,     ,0   ,WC      ,29       ,6   ,1
523 ,2506    ,469265.5071,807341.7095,908.8965  ,82-07-3-2,13     ,     ,     ,0   ,WC      ,30       ,6   ,1
526 ,2509    ,469206.6504,807350.9373,908.8365  ,82-07-3-5,14     ,     ,     ,0   ,WC      ,31       ,6   ,1
533 ,2516    ,469159.06  ,807348.79  ,912.1992  ,         ,20     ,HIGH ,     ,78  ,WC      ,32       ,6   ,1
939 ,4401    ,469094.7285,807362.3603,913.8062  ,82-10-2-2,10     ,MED  ,     ,0   ,WC      ,33       ,6   ,1
352 ,1703    ,469423.9429,807407.2344,902.1759  ,         ,10     ,MED  ,     ,0   ,WC      ,34       ,7   ,1
365 ,1716    ,469367.3525,807409.6435,904.6338  ,82-07-2-4,8      ,     ,     ,0   ,WC      ,35       ,7   ,1
370 ,1721    ,469317.6191,807405.4852,906.2637  ,82-07-2-9,15     ,     ,     ,0   ,WC      ,36       ,7   ,1
524 ,2507    ,469262.8789,807395.2126,907.9894  ,82-07-3-3,12     ,MED  ,     ,0   ,WC      ,37       ,7   ,1
525 ,2508    ,469206.3489,807404.8734,907.7031  ,82-07-3-4,14     ,     ,     ,0   ,WC      ,38       ,7   ,1
534 ,2517    ,469151.1703,807404.1411,910.3863  ,82-07-3-9,14     ,     ,     ,0   ,WC      ,39       ,7   ,1
940 ,4402    ,469094.3315,807404.0031,912.6316  ,82-10-2-3,7      ,     ,     ,0   ,WC      ,40       ,7   ,1
353 ,1704    ,469421.0662,807461.86  ,901.8097  ,82-07-1-1,7      ,     ,     ,0   ,WC      ,41       ,8   ,1
364 ,1715    ,469366.6405,807464.4941,903.6309  ,82-07-1-6,7      ,     ,     ,0   ,WC      ,42       ,8   ,1
371 ,1722    ,469317.1322,807460.1839,905.3366  ,82-07-1-7,11     ,MED  ,     ,0   ,WC      ,43       ,8   ,1
204 ,1101    ,469261.2797,807459.0342,907.4614  ,82-07-4-1,13     ,     ,     ,0   ,WC      ,44       ,8   ,1
220 ,1117    ,469203.7108,807462.2858,908.6199  ,82-07-4-6,7      ,     ,     ,0   ,WC      ,45       ,8   ,1
221 ,1118    ,469150.9388,807458.2406,909.9634  ,82-07-4-7,10     ,MED  ,     ,0   ,WC      ,46       ,8   ,1
941 ,4403    ,469095.554 ,807458.2409,911.6021  ,82-10-1-1,7      ,     ,     ,0   ,WC      ,47       ,8   ,1
354 ,1705    ,469424.3289,807515.7551,901.2178  ,82-07-1-2,11     ,MED  ,     ,0   ,WC      ,48       ,9   ,1
363 ,1714    ,469365.9886,807518.0281,903.6211  ,82-07-1-5,7      ,     ,     ,0   ,WC      ,49       ,9   ,1
372 ,1723    ,469317.0491,807514.5592,905.5298  ,82-07-1-8,11     ,MED  ,     ,0   ,WC      ,50       ,9   ,1
205 ,1102    ,469260.9198,807514.3413,906.8368  ,82-07-4-2,15     ,     ,     ,0   ,WC      ,51       ,9   ,1
219 ,1116    ,469201.423 ,807516.6081,908.3525  ,82-07-4-5,10     ,MED  ,     ,0   ,WC      ,52       ,9   ,1
222 ,1119    ,469151.0066,807512.1223,909.7928  ,82-07-4-8,14     ,     ,     ,0   ,WC      ,53       ,9   ,1
942 ,4404    ,469094.6259,807512.8198,911.1416  ,82-10-1-2,7      ,     ,     ,0   ,WC      ,54       ,9   ,1
355 ,1706    ,469423.2503,807569.8202,899.966   ,82-07-1-3,12     ,MED  ,     ,0   ,WC      ,55       ,10  ,1
362 ,1713    ,469366.5507,807572.9381,902.1384  ,82-07-1-4,11     ,MED  ,     ,0   ,WC      ,56       ,10  ,1
373 ,1724    ,469317.1186,807571.2402,904.3503  ,82-07-1-9,13     ,     ,     ,0   ,WC      ,57       ,10  ,1
206 ,1103    ,469260.2776,807568.992 ,905.8376  ,82-07-4-3,14     ,     ,     ,0   ,WC      ,58       ,10  ,1
218 ,1115    ,469213.7111,807570.2681,907.4791  ,82-07-4-4,9      ,     ,     ,0   ,WC      ,59       ,10  ,1
223 ,1120    ,469150.2566,807567.371 ,908.6932  ,82-07-4-9,5      ,LOW  ,     ,0   ,WC      ,60       ,10  ,1
943 ,4405    ,469107.8662,807568.1709,910.037   ,82-10-1-3,8      ,     ,     ,0   ,WC      ,61       ,10  ,1
356 ,1707    ,469423.7559,807623.3492,899.6219  ,82-08-2-1,11     ,MED  ,     ,0   ,WC      ,62       ,11  ,2
361 ,1712    ,469367.4391,807626.7755,901.6712  ,82-08-2-6,11     ,MED  ,     ,0   ,WC      ,63       ,11  ,2
374 ,1725    ,469316.9663,807625.1367,903.6362  ,82-08-2-7,11     ,MED  ,     ,0   ,WC      ,64       ,11  ,2
207 ,1104    ,469259.1017,807624.1526,905.2026  ,82-08-3-1,16     ,     ,     ,0   ,WC      ,65       ,11  ,2
217 ,1114    ,469200.4547,807625.1501,906.4874  ,82-08-3-6,18     ,HIGH ,     ,41  ,WC      ,66       ,11  ,2
